threshold,n_positive,naive_auc,grouped_auc,gap
0.1,67,0.6912015065163779,0.649334262413021,0.04186724410335696
0.15,61,0.6514287898549663,0.6286838202939631,0.022744969561003248
0.2,52,0.6769062261984607,0.5527708312005939,0.12413539499786685
0.25,50,0.6827640289350931,0.5399433208989536,0.14282070803613955
0.3,49,0.6791777472107596,0.5344261082519529,0.14475163895880672
