lines_added,lines_deleted,net_churn,files_changed,commits_between,msg_total_length,has_perf_keyword,has_fix_keyword,has_test_keyword,has_refactor_keyword,has_dependency_keyword,project,language,prev_commit,commit,prev_energy_median,curr_energy_median,pct_change,p_value,cliffs_delta,is_regression_naive,is_regression
68,19,87,7,2,71,0,0,0,0,0,docx4j,java,c09797573256c0abac8529008df7336125ea5685,6118df9d7c3e67a13775c1384eb7b5f8d9c28f39,267.21,192.53,-0.2794805583623367,3.3918213908250945e-06,1.0,0,0
57,3,60,1,1,66,0,0,0,0,0,docx4j,java,6118df9d7c3e67a13775c1384eb7b5f8d9c28f39,babf369c9d9115873b6b371a0172057eeee796f0,192.53,192.69,0.000831039318547741,0.8845613440989442,0.035555555555555556,0,0
31,22,53,4,2,48,0,1,0,0,0,docx4j,java,babf369c9d9115873b6b371a0172057eeee796f0,7156a314733fbf3204f6ebabe4b57a593b575553,192.69,268.32,0.3924957185115989,3.3833394126542183e-06,-1.0,1,1
153,82,235,4,1,38,0,1,0,0,0,docx4j,java,7156a314733fbf3204f6ebabe4b57a593b575553,21346b16a0fb3a578eb94ea592740f80b2d33d26,268.32,266.49,-0.006820214669051819,0.10566159762924976,0.3511111111111111,0,0
6,24,30,2,1,26,0,0,0,0,0,docx4j,java,21346b16a0fb3a578eb94ea592740f80b2d33d26,72b78f23a96a40a3a3becb2f4260d41af67a7f97,266.49,267.94,0.005441104731884831,0.05121354752110811,-0.4222222222222222,0,0
145,308,453,16,1,9,0,1,0,0,0,docx4j,java,72b78f23a96a40a3a3becb2f4260d41af67a7f97,21b8c1c0720395ec81ca4d43e1a1e5eb0b9ac55f,267.94,267.07,-0.0032469955960289787,0.09709106759647709,0.36,0,0
309,145,454,17,8,348,0,1,0,0,0,docx4j,java,21b8c1c0720395ec81ca4d43e1a1e5eb0b9ac55f,e49d57c5d2126359e5f25e4bd814093c68e0dda5,267.07,267.25,0.0006739806043359675,0.7089232340537643,-0.08444444444444445,0,0
39,1,40,3,1,65,0,0,0,0,0,docx4j,java,e49d57c5d2126359e5f25e4bd814093c68e0dda5,5cba6b64a8e883bd99a549422d86ede00e6a2f62,267.25,267.17,-0.000299345182413411,0.7089232340537643,-0.08444444444444445,0,0
26,5,31,5,1,18,0,0,0,0,0,docx4j,java,5cba6b64a8e883bd99a549422d86ede00e6a2f62,c084b2b2049d2a9bbcd829baa5a7edeae0b08e51,267.17,267.7,0.0019837556611894025,0.9834519906119015,0.008888888888888889,0,0
24,15,39,1,1,57,0,0,0,0,0,docx4j,java,c084b2b2049d2a9bbcd829baa5a7edeae0b08e51,9906105e42435c566d4458ebb576ba1947a69d98,267.7,267.62,-0.0002988419872991561,0.6783024655972324,-0.09333333333333334,0,0
3,3,6,2,1,44,0,0,0,0,1,docx4j,java,9906105e42435c566d4458ebb576ba1947a69d98,99b0f9c34f19d838d3da0ab1d0692ce8e2d7640f,267.62,267.53,-0.0003362977355953659,0.46787129814814044,0.16,0,0
113,6,119,4,1,41,0,0,0,0,0,docx4j,java,99b0f9c34f19d838d3da0ab1d0692ce8e2d7640f,148614e20e0516ecf04085870199bae3484e640b,267.53,267.59,0.0002242739132060041,0.8357050269952793,-0.04888888888888889,0,0
80,13,93,3,1,32,0,0,0,0,0,docx4j,java,148614e20e0516ecf04085870199bae3484e640b,79b20b0c55293c71ba51ed934f3e5397fb28b6f3,267.59,268.05,0.0017190477970030137,0.8034411566561627,-0.057777777777777775,0,0
0,69,69,1,1,46,0,0,0,0,0,docx4j,java,79b20b0c55293c71ba51ed934f3e5397fb28b6f3,cf9671bd69a65f780fc992fa366c4b4406ea694e,268.05,267.33,-0.002686066032456733,0.38367971975215054,0.19111111111111112,0,0
45,0,45,1,1,33,0,0,0,0,0,docx4j,java,cf9671bd69a65f780fc992fa366c4b4406ea694e,97d4aaae056153996d0402cbf3584f8271631ae6,267.33,266.99,-0.0012718363071857817,0.6935179289009736,-0.08888888888888889,0,0
4,4,8,1,1,24,0,0,0,0,0,docx4j,java,97d4aaae056153996d0402cbf3584f8271631ae6,35b79db2cf8776375eef2dd2e07fb8f44d957df7,266.99,266.86,-0.00048690962208320705,0.9174021048159461,-0.02666666666666667,0,0
8,8,16,4,1,50,0,1,0,0,0,docx4j,java,35b79db2cf8776375eef2dd2e07fb8f44d957df7,7a4dbbb6aec73cae664f4f8118e0fe45f0580d26,266.86,268.12,0.0047215768567788014,0.4303914557329047,-0.17333333333333334,0,0
10,1,11,1,1,88,0,0,0,0,0,docx4j,java,7a4dbbb6aec73cae664f4f8118e0fe45f0580d26,d92cabb73712c982d284a9216b9c22a5108e559f,268.12,267.36,-0.0028345516932716352,0.22876992586433764,0.26222222222222225,0,0
9,7,16,1,2,60,0,1,0,0,0,docx4j,java,d92cabb73712c982d284a9216b9c22a5108e559f,f248547894c2b45a596317e93d8173f108ec764a,267.36,267.71,0.001309096349491195,0.4553018964198552,-0.16444444444444445,0,0
128,9,137,6,1,69,0,0,0,0,0,docx4j,java,f248547894c2b45a596317e93d8173f108ec764a,60a7c0cf78e4da4f28347c0269acff596c375335,267.71,266.7,-0.0037727391580441184,0.05123941919274439,0.4222222222222222,0,0
25,11,36,2,2,101,0,1,0,0,0,docx4j,java,60a7c0cf78e4da4f28347c0269acff596c375335,3b5d928b7eff4b68e16e59ff17cec2acfe834655,266.7,267.76,0.003974503187101621,0.19131309171296962,-0.28444444444444444,0,0
28,5,33,2,1,46,0,0,0,0,0,docx4j,java,3b5d928b7eff4b68e16e59ff17cec2acfe834655,e13cc2a7c8412dee03f3960511a7bab1ccfc53ca,267.76,267.09,-0.0025022408126681205,0.6631500726976157,0.09777777777777778,0,0
2,2,4,1,1,13,0,0,0,0,1,docx4j,java,e13cc2a7c8412dee03f3960511a7bab1ccfc53ca,c9751c989443699ba38246b82e32dc81dee91a2e,267.09,267.34,0.0009360140776517279,0.6186305224456992,-0.1111111111111111,0,0
9,7,16,1,3,133,0,1,0,0,0,docx4j,java,c9751c989443699ba38246b82e32dc81dee91a2e,fcc5e67b48556a8421b7e00bbcaeed63b67984dd,267.34,267.3,-0.0001496222039349279,1.0,0.0044444444444444444,0,0
570,11,581,5,1,28,0,0,0,0,0,docx4j,java,fcc5e67b48556a8421b7e00bbcaeed63b67984dd,20fb3d99193c90bebe1253c6fe410caf1bb5dd51,267.3,267.8,0.0018705574261129816,0.9338864180775845,-0.022222222222222223,0,0
41,35,76,2,2,58,0,0,0,0,0,docx4j,java,20fb3d99193c90bebe1253c6fe410caf1bb5dd51,74b5ddc649171d3a99fc0dbc67097b5cb7caa1ea,267.8,133.15,-0.5028005974607916,3.3833394126542183e-06,1.0,0,0
50,24,74,3,1,48,0,1,0,0,0,docx4j,java,74b5ddc649171d3a99fc0dbc67097b5cb7caa1ea,a06871b1972a5ea200272bd983c926e247d1492f,133.15,132.98,-0.0012767555388660601,0.9669110984447616,0.013333333333333334,0,0
10,5,15,4,1,48,0,1,0,0,0,docx4j,java,a06871b1972a5ea200272bd983c926e247d1492f,d462c112962078b5cac062f3b5aef66470e36f0d,132.98,268.3,1.0175966310723419,3.3748749558581833e-06,-1.0,1,1
5,10,15,4,1,18,0,1,0,0,0,docx4j,java,d462c112962078b5cac062f3b5aef66470e36f0d,190f802a92a103b0660121d343d3b128aeed4874,268.3,133.28,-0.5032426388371226,3.3748749558581833e-06,1.0,0,0
50,12,62,2,1,57,0,0,0,0,0,docx4j,java,190f802a92a103b0660121d343d3b128aeed4874,230f34fde826fae4b4efccb6185108437335f373,133.28,132.72,-0.004201680672268925,0.6782348873601296,0.09333333333333334,0,0
25,4,29,4,1,27,0,0,0,0,0,docx4j,java,230f34fde826fae4b4efccb6185108437335f373,0a8104da81348ae872d57e9c206a3729d3728e8d,132.72,268.14,1.0203435804701626,3.3918213908250945e-06,-1.0,1,1
4,1,5,1,1,111,0,0,0,0,0,docx4j,java,0a8104da81348ae872d57e9c206a3729d3728e8d,8a71aca5ecb660cd049b63ec6e29f4318238cb0d,268.14,268.19,0.00018646975460584535,0.7243862381207838,0.08,0,0
23,1,24,3,1,20,0,0,0,0,0,docx4j,java,8a71aca5ecb660cd049b63ec6e29f4318238cb0d,2c56af11ec38b8de76d4438462e69d6e47031406,268.19,267.97,-0.0008203139565232501,0.9669147771731937,0.013333333333333334,0,0
346,143,489,16,1,53,0,0,0,0,0,docx4j,java,2c56af11ec38b8de76d4438462e69d6e47031406,d0f1993ac5812b235b6d582723d9f834362b977f,267.97,132.46,-0.5056909355524872,3.3918213908250945e-06,1.0,0,0
162,373,535,21,1,30,0,0,0,0,0,docx4j,java,d0f1993ac5812b235b6d582723d9f834362b977f,ac6dfd076bea0feac88564bff68164b95619ae66,132.46,266.74,1.0137399969802203,3.3918213908250945e-06,-1.0,1,1
382,167,549,22,4,254,0,0,0,0,0,docx4j,java,ac6dfd076bea0feac88564bff68164b95619ae66,3696b175470064e2cda335f1c53b14c4d46586de,266.74,132.59,-0.5029241958461423,3.3833394126542183e-06,1.0,0,0
1,3,4,1,1,46,0,0,0,0,0,docx4j,java,3696b175470064e2cda335f1c53b14c4d46586de,0da5000255265aa1e0036d0d6fb0129dc759f1f7,132.59,132.52,-0.0005279432838071738,0.7088923275427439,0.08444444444444445,0,0
166,1,167,2,1,75,0,0,0,0,0,docx4j,java,0da5000255265aa1e0036d0d6fb0129dc759f1f7,4e4d47fe0f13d7bb1dd9874cd057456d21123390,132.52,132.19,-0.0024901901599759468,0.5897385933186072,0.12,0,0
2,4,6,1,1,7,0,0,0,0,0,docx4j,java,4e4d47fe0f13d7bb1dd9874cd057456d21123390,f935d545726572c4f72fd8bec3c940feb8f299fd,132.19,132.79,0.004538921249716274,0.24548500120312422,-0.25333333333333335,0,0
1729,1724,3453,2,1,45,0,0,0,0,0,docx4j,java,f935d545726572c4f72fd8bec3c940feb8f299fd,ec5fed5fe4a51a95a51ef4e92b8c82e656e453ad,132.79,132.75,-0.00030122750207087917,0.8034197319952785,0.057777777777777775,0,0
748,161,909,3,1,60,0,0,0,0,0,docx4j,java,ec5fed5fe4a51a95a51ef4e92b8c82e656e453ad,19e43c1d43028c4e91a0acde071721b3814e3f7c,132.75,132.32,-0.0032391713747646463,0.8195259356447925,0.05333333333333334,0,0
