model,protocol,roc_auc,roc_auc_std,pr_auc,pr_auc_std
Random Forest,Naive,0.6808461506398233,0.08684983117165848,0.05080392412721674,0.01801481182356465
Random Forest,Project-grouped,0.5445739622796527,0.22988558620747448,0.10145442740411287,0.14675686510816624
XGBoost,Naive,0.6782656323256206,0.06510932875306606,0.06996390279587063,0.04354570426208165
XGBoost,Project-grouped,0.41601115368056335,0.212389807245642,0.0678238350660766,0.06647663250368499
Logistic Regression,Naive,0.6996247146398907,0.07457194661047555,0.06204367249943038,0.021915334140458823
Logistic Regression,Project-grouped,0.768107565788812,0.14740060786708417,0.23772283611883924,0.18402292636375162
